ELENCO CORPI ILLUMINANTI DI EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Codice 
Scheda:;;;EM;;;.;06;;Oggetto scheda:;;EM;;;;Elenco Apparecchi illuminazione emergenza;;;;;;;;;;;Periodicitˆ:;;;06;;MESI;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Azienda
Appalt.;;;Desiderio Impianti S.r.l.;;;;;;;Sito;0;;;;;;Cliente:;;0;;;;;;;Data inizio periodo
attivitˆ;;;;;;;;
Premessa e/o informazioni:      NORME CEI 78-17:2015, CEI 0-10:2012, CEI EN 50110:2014, CEI 11-27:2014, CEI 64-8:2012, CEI 64-14:2007;;;;;;;;;;;;;;;;;;;;;;;;;;Data precedente;;;;;;;;
Autonomia di progetto =1 ora.    Prima di effettuare qualsiasi tipo di prova sugli apparecchi di illuminazione e segnalazione di sicurezza occorre verificare con i referenti del sito l'effettiva possibilitˆ di svolgere le prove.;;;;;;;;;;;;;;;;;;;;;;;;;;attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Data attuale
attivitˆ V&M;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Verificatore/
Manutentore;;;;0;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;Firma;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr. Lampada;;;;;Marca;;;Modello;;;Codice;;;;;Tipo batteria;;;;Zona Fisica;;;Note a seguito di verifica;;;;;;;;;;;
LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;22;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;CENTRALE TERMICA ;;;;;;;;;;;;;;
EM;;.;23;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;SCALE P1;;;;;;;;;;;;;;
EM;;.;24;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 26 P1;;;;;;;;;;;;;;
EM;;.;25;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 35 P1;;;;;;;;;;;;;;
EM;;.;26;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;CAMERA SERVIZIO 34 P1;;;;;;;;;;;;;;
EM;;.;27;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 29 P1;;;;;;;;;;;;;;
EM;;.;28;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;DISIMPEGNO 30 P1;;;;;;;;;;;;;;
EM;;.;29;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 32 P1;;;;;;;;;;;;;;
EM;;.;30;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;DISIMPEGNO 60 P1;;;;;;;;;;;;;;
EM;;.;31;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;DISIMPEGNO 60 P1;;;;;;;;;;;;;;
EM;;.;32;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;DISIMPEGNO 60 P1;;;;;;;;;;;;;;
EM;;.;33;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;US SCALE 76 P1;;;;;;;;;;;;;;
EM;;.;34;;EATON;;;NEXI;;;400 AT IP;;;;;;;;;RIPOSTIGLIO 61 P1;;;;;;;;;;;;;;
EM;;.;35;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 55 P1;;;;;;;;;;;;;;
EM;;.;36;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 58 P1;;;;;;;;;;;;;;
EM;;.;37;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 62 P1;;;;;;;;;;;;;;
LEGENDA LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H=3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU PARETE 
ALTEZZA H>3m (NECESSARIA PIATTAFORMA);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;MONTAGGIO SU BLINDO LUCE
ALTEZZA H>3m;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LAMPADE EMERGENZA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;38;;EATON;;;NEXI;;;250 AT IP;;;;;;;;;BAGNO 65 P1;;;;;;;;;;;;;;
EM;;.;39;;EATON;;;NEXI;;;600 AT IP;;;;;;;;;US SCALE 76 P1;;;;;;;;;;;;;;
EM;;.;40;;??;;;??;;;600LM;;;;;;;;;BAGNO 38 PT;;;;;;;;;;;;;;
EM;;.;41;;??;;;??;;;600LM;;;;;;;;;LABORATORIO 71 PT;;;;;;;;;;;;;;
EM;;.;42;;??;;;??;;;??;;;;;;;;;SOGGIORNO 36 PT;;;;;;;;;;;;;;
EM;;.;43;;??;;;??;;;??;;;;;;;;;DISIMPEGNO QG PT;;;;;;;;;;;;;;
EM;;.;44;;??;;;??;;;??;;;;;;;;;BAGNO 8 PT;;;;;;;;;;;;;;
EM;;.;45;;??;;;??;;;??;;;;;;;;;BAGNO 5 PT;;;;;;;;;;;;;;
EM;;.;46;;??;;;??;;;??;;;;;;;;;BALLATOIO 31 P1;;;;;;;;;;;;;;
EM;;.;47;;??;;;??;;;??;;;;;;;;;BALLATOIO 31 P1;;;;;;;;;;;;;;
EM;;.;48;;??;;;??;;;??;;;;;;;;;BALLATOIO 31 P1;;;;;;;;;;;;;;
EM;;.;49;;??;;;??;;;??;;;;;;;;;DISIMPEGNO 15 P1;;;;;;;;;;;;;;
EM;;.;50;;??;;;??;;;??;;;;;;;;;SPOGLIATORIO 13 P1;;;;;;;;;;;;;;
EM;;.;51;;??;;;??;;;??;;;;;;;;;DEPOSITO 17 P1;;;;;;;;;;;;;;
EM;;.;52;;??;;;??;;;??;;;;;;;;;BAGNO 16 P1;;;;;;;;;;;;;;
EM;;.;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EM;;.;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
