;;;;;;;;;;;;;;;;;;;;;;;;;P;PI;NA;NP;VN;B;;;;;;;;;;
RIV;.;L1;.1;TERMO;TERMO;TERMO;;;;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;SOTTOCENTRALE TERMICA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.2;FUMO;FUMO;FUMO;;;;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;LOCALE QUADRO ELETTRICO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.3;FUMO;FUMO;FUMO;;;;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.4;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;SPOGLIATOIO PERSONALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.5;FUMO;FUMO;FUMO;;;;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;DEPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.6;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;DPOSITO SPORCO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.7;FUMO;FUMO;FUMO;;;;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;SENSORE 1 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.8;FUMO;FUMO;FUMO;;;;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;SENSORE 2 CORRIDOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.9;FUMO;FUMO;FUMO;;;;BOX 2;BOX 2;BOX 2;BOX 2;BOX 2;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.10;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;BOX 2;BOX 2;BOX 2;BOX 2;BOX 2;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.11;FUMO;FUMO;FUMO;;;;BOX 1;BOX 1;BOX 1;BOX 1;BOX 1;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.12;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;BOX 1;BOX 1;BOX 1;BOX 1;BOX 1;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.13;FUMO;FUMO;FUMO;;;;RIPOSTIGLIO SCALE;RIPOSTIGLIO SCALE;RIPOSTIGLIO SCALE;RIPOSTIGLIO SCALE;RIPOSTIGLIO SCALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.14;FUMO;FUMO;FUMO;CONTROSOFFITTO;CONTROSOFFITTO;CONTROSOFFITTO;CORRIDOIO SCALE;CORRIDOIO SCALE;CORRIDOIO SCALE;CORRIDOIO SCALE;CORRIDOIO SCALE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.15;FUMO;FUMO;FUMO;;;;SBARCO ASCENSORE;SBARCO ASCENSORE;SBARCO ASCENSORE;SBARCO ASCENSORE;SBARCO ASCENSORE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.16;FUMO;FUMO;FUMO;;;;VANO TECNICO ASCENSORE;VANO TECNICO ASCENSORE;VANO TECNICO ASCENSORE;VANO TECNICO ASCENSORE;VANO TECNICO ASCENSORE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.17;FUMO;FUMO;FUMO;;;;SENSORE 1 SPOGLIATOIO UOMINI;SENSORE 1 SPOGLIATOIO UOMINI;SENSORE 1 SPOGLIATOIO UOMINI;SENSORE 1 SPOGLIATOIO UOMINI;SENSORE 1 SPOGLIATOIO UOMINI;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.18;FUMO;FUMO;FUMO;;;;SENSORE 2 SPOGLIATOIO UOMINI;SENSORE 2 SPOGLIATOIO UOMINI;SENSORE 2 SPOGLIATOIO UOMINI;SENSORE 2 SPOGLIATOIO UOMINI;SENSORE 2 SPOGLIATOIO UOMINI;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.19;FUMO;FUMO;FUMO;;;;CORRIDOIO SPOGLIATOIO;CORRIDOIO SPOGLIATOIO;CORRIDOIO SPOGLIATOIO;CORRIDOIO SPOGLIATOIO;CORRIDOIO SPOGLIATOIO;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.20;FUMO;FUMO;FUMO;;;;SPOGLIATOIO DISABILI;SPOGLIATOIO DISABILI;SPOGLIATOIO DISABILI;SPOGLIATOIO DISABILI;SPOGLIATOIO DISABILI;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.21;FUMO;FUMO;FUMO;;;;SPOGLIATOIO DONNE;SPOGLIATOIO DONNE;SPOGLIATOIO DONNE;SPOGLIATOIO DONNE;SPOGLIATOIO DONNE;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.22;FUMO;FUMO;FUMO;;;;CAMERA ANALISI 1 MANDATA CONDOTTA ARIA;CAMERA ANALISI 1 MANDATA CONDOTTA ARIA;CAMERA ANALISI 1 MANDATA CONDOTTA ARIA;CAMERA ANALISI 1 MANDATA CONDOTTA ARIA;CAMERA ANALISI 1 MANDATA CONDOTTA ARIA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
RIV;.;L1;.23;FUMO;FUMO;FUMO;;;;CAMERA ANALISI 2 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 2 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 2 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 2 RIPRESA CONDOTTA ARIA;CAMERA ANALISI 2 RIPRESA CONDOTTA ARIA;PINT;PINT;PINT;;;;;;;;;;;;;;;;;;;;;;;
